Seq	SIMBAD_ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	L	eL1	eL2	Meta	eMeta1	eMeta2	logg	elogg1	elogg2	rho	erho1	erho2	cutoff	class	type	pla	catalog	e_M	e_R	e_Teff	e_L	mode
8724	EPIC201389413	1.304	0.051	0.051	5.37	0.068	0.068	4811.0	8.0	8.0	13.92	0.36	0.36	0.124	0.0067	0.0067	3.051	0.02	0.02	0.00842	0.00046	0.00046	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8725	EPIC201178730	1.223	0.126	0.126	10.595	0.356	0.356	4571.0	7.0	7.0	44.2	3.0	3.0	-0.014	0.0074	0.0074	2.405	0.021	0.021	0.00103	0.00015	0.00015	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8726	EPIC220477699	1.046	0.066	0.066	8.1	0.165	0.165	4571.0	7.0	7.0	25.8	1.1	1.1	-0.0809	0.0075	0.0075	2.563	0.022	0.022	0.00197	0.00017	0.00017	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8727	EPIC220387868	1.031	0.087	0.087	10.514	0.283	0.283	4856.0	11.0	11.0	84.44	5.72	5.37	-1.0767	0.0094	0.0094	2.378	0.035	0.035	0.00089	0.00010	0.00010	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8728	EPIC210752266	1.131	0.034	0.034	9.675	0.096	0.096	4721.0	8.0	8.0	47.36	1.67	1.52	-0.2334	0.0076	0.0076	2.512	0.024	0.024	0.001249	0.000053	0.000053	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8729	EPIC206090304	1.453	0.477	0.477	10.95	1.138	1.138	4657.0	8.0	8.0	51	11	11	-0.5662	0.0085	0.0085	2.401	0.028	0.028	0.00111	0.00050	0.00050	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8730	EPIC212323920	1.019	0.118	0.118	7.806	0.287	0.287	4675.0	13.0	13.0	26.2	2.0	2.0	-0.4025	0.0121	0.0121	2.529	0.034	0.034	0.00214	0.00034	0.00034	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8731	EPIC204127716	1.282	0.05	0.05	5.903	0.075	0.075	4895.0	10.0	10.0	18.02	0.48	0.48	-0.2465	0.0077	0.0077	2.989	0.025	0.025	0.00623	0.00034	0.00034	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8732	EPIC201629467	0.895	0.102	0.102	6.718	0.243	0.243	4802.0	10.0	10.0	21.6	1.6	1.6	-0.7118	0.0086	0.0086	2.72	0.03	0.03	0.00295	0.00046	0.00046	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8733	EPIC212425409	0.865	0.044	0.044	9.415	0.155	0.155	4712.0	10.0	10.0	39.4	1.3	1.3	-0.7011	0.0096	0.0096	2.398	0.032	0.032	0.001036	0.000073	0.000073	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8734	EPIC204220488	0.947	0.221	0.221	8.125	0.603	0.603	4735.0	11.0	11.0	29.9	4.4	4.4	-0.4291	0.0103	0.0103	2.612	0.031	0.031	0.00177	0.00057	0.00057	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8735	EPIC220472462	1.111	0.058	0.058	5.69	0.095	0.095	4863.0	11.0	11.0	16.19	0.59	0.56	-0.2653	0.0089	0.0089	2.997	0.028	0.028	0.00603	0.00044	0.00044	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8736	EPIC206034668	1.13	0.182	0.182	9.111	0.471	0.471	4954.0	14.0	14.0	45.0	4.7	4.7	-1.1411	0.0105	0.0105	2.231	0.04	0.04	0.00149	0.00033	0.00033	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8737	EPIC204252462	0.657	0.044	0.044	9.578	0.208	0.208	4552.0	9.0	9.0	35.5	1.6	1.6	-0.4869	0.0102	0.0102	2.356	0.03	0.03	0.000748	0.000070	0.000070	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8738	EPIC206246011	1.238	0.067	0.067	8.483	0.148	0.148	4630.0	7.0	7.0	29.8	1.1	1.1	0.0495	0.0075	0.0075	2.664	0.022	0.022	0.00203	0.00015	0.00015	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8739	EPIC210683150	0.954	0.045	0.045	4.245	0.064	0.064	4809.0	8.0	8.0	8.68	0.27	0.27	-0.0552	0.0071	0.0071	3.129	0.022	0.022	0.01247	0.00082	0.00082	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
