hostname,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
HD 7924,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5131.0,14.0,-14.0,0.0,0.78,0.01,-0.01,0.0,0.65,0.05,-0.05,0.0,-0.21,,,0.0,[Fe/H],,,,,4.46,0.03,-0.03,0.0
HD 180053,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,5131.0,,,0.0,4.06,,,0.0,1.75,,,0.0,,,,,,,,,,3.54,,,0.0
Kepler-211,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5123.0,100.0,-100.0,0.0,0.816,0.054,-0.054,0.0,,,,,,,,,,,,,,4.547,0.15,-0.15,0.0
Kepler-229,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5120.0,200.0,-200.0,0.0,0.728,0.257,-0.257,0.0,,,,,,,,,,,,,,4.633,0.3,-0.3,0.0
K2-131,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5120.0,71.0,-71.0,0.0,0.7595,0.0087,-0.0089,0.0,0.803,0.034,-0.034,0.0,-0.04,0.07,-0.07,0.0,[Fe/H],,,,,,,,
Kepler-330,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5117.0,200.0,-200.0,0.0,0.722,0.267,-0.267,0.0,,,,,,,,,,,,,,4.636,0.3,-0.3,0.0
HD 215497,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5110.0,108.0,-108.0,0.0,0.85,0.04,-0.04,0.0,0.67,0.33,-0.33,0.0,0.2,,,0.0,[Fe/H],,,,,4.4,0.21,-0.21,0.0
HD 101930,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5108.0,27.0,-27.0,0.0,0.86,0.02,-0.02,0.0,0.57,0.07,-0.07,0.0,0.15,,,0.0,[Fe/H],,,,,4.33,0.05,-0.05,0.0
Kepler-190,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5106.0,100.0,-100.0,0.0,0.795,0.049,-0.049,0.0,,,,,,,,,,,,,,4.561,0.15,-0.15,0.0
Kepler-326,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5105.0,100.0,-100.0,0.0,0.801,0.052,-0.052,0.0,,,,,,,,,,,,,,4.556,0.15,-0.15,0.0
