Teff,logg,Meta,L,eTeff,elogg,eMeta,eL
5212.0,4.566,,,100.0,0.15,,
5211.0,4.542,,,200.0,0.3,,
5208.0,4.595,,,200.0,0.3,,
5208.0,4.545,,,200.0,0.3,,
5206.0,4.557,,,200.0,0.3,,
5200.0,4.35,-0.07,,100.0,0.15,,
5200.0,,,,,,,
5190.0,4.573,,,161.0,0.2,,
5187.9,,,,90.8,,,
5187.0,4.553,,,100.0,0.15,,
5186.0,4.41,,,,,,
5186.0,4.38,0.13,,8.0,0.04,,
5185.0,,0.02,0.4099963590417646,60.0,,0.08,0.038221551892700434
5185.0,4.56,0.27,,80.0,0.03,,
5182.0,4.63,-0.22,,11.0,0.02,,
5181.0,4.39,0.19,,29.0,0.03,,
5180.0,4.36,,,200.0,0.3,,
5178.0,4.558,,,200.0,0.3,,
5169.0,,,,122.0,,,
5166.0,4.569,,,100.0,0.15,,
5165.0,,,,104.0,,,
5160.0,4.565,,,200.0,0.3,,
5147.0,4.622,,,200.0,0.3,,
5146.0,4.5288,0.03,0.44602581966711224,25.0,,0.1,
5146.0,4.50241,,0.4739690681881957,122.0,,,
5135.0,,0.21,,44.0,,0.03,
5134.0,4.613,,,121.0,0.085,,
5131.0,,-0.46,,67.0,,0.17,
5131.0,4.46,-0.21,,14.0,0.03,,
5131.0,3.54,,,,,,
5123.0,4.547,,,100.0,0.15,,
5120.0,4.633,,,200.0,0.3,,
5120.0,,-0.04,,71.0,,0.07,
5117.0,4.636,,,200.0,0.3,,
5110.0,4.4,0.2,,108.0,0.21,,
5108.0,4.33,0.15,,27.0,0.05,,
5106.0,4.561,,,100.0,0.15,,
5105.0,4.556,,,100.0,0.15,,
5103.0,4.54,-0.16,0.35318316979195696,20.0,0.028,,0.003238002763599701
5100.0,4.608,,,200.0,0.3,,
